N,P,K,target
25.8,61.68,44.72,Chayote
45.55,48.0,21.62,Chayote
67.3,22.33,49.7,Chayote
45.05,25.38,36.87,Chayote
50.96,65.53,43.87,Chayote
38.83,95.05,65.23,Chayote
55.43,73.2,52.53,Chayote
65.15,39.3,63.03,Chayote
54.34,51.19,48.73,Chayote
51.55,54.42,71.37,Chayote
59.54,61.92,14.32,Chayote
50.28,7.28,39.57,Chayote
38.95,3.05,31.11,Chayote
56.86,48.81,32.94,Chayote
52.99,32.02,28.58,Chayote
49.16,15.66,42.13,Chayote
51.11,45.41,29.93,Chayote
52.09,65.28,28.83,Chayote
60.22,23.72,29.21,Chayote
47.75,18.99,15.22,Chayote
53.67,57.35,23.73,Chayote
54.16,29.35,40.41,Chayote
46.86,55.91,48.81,Chayote
44.09,89.5,21.34,Chayote
43.5,72.77,57.37,Chayote
52.43,84.95,27.9,Chayote
61.03,40.51,23.03,Chayote
47.92,6.2,32.72,Chayote
41.66,25.79,25.27,Chayote
30.54,41.42,54.46,Chayote
42.97,83.37,78.41,Chayote
44.7,53.32,56.32,Chayote
50.02,66.48,57.45,Chayote
54.98,83.59,24.31,Chayote
51.14,67.56,56.97,Chayote
46.28,47.82,20.66,Chayote
43.17,93.96,65.28,Chayote
49.59,107.86,36.55,Chayote
58.57,27.22,35.97,Chayote
56.03,85.51,60.15,Chayote
55.27,84.98,33.75,Chayote
43.79,46.61,15.97,Chayote
47.04,45.5,36.93,Chayote
56.09,27.13,44.36,Chayote
56.48,6.73,43.4,Chayote
34.88,71.69,0.73,Chayote
56.47,36.3,59.73,Chayote
70.54,76.03,56.62,Chayote
39.47,11.13,68.86,Chayote
56.96,37.8,23.52,Chayote
41.09,88.79,49.92,Chayote
50.14,-5.03,54.35,Chayote
62.15,52.8,22.91,Chayote
51.55,-16.92,25.08,Chayote
45.43,42.57,52.79,Chayote
44.63,51.24,57.03,Chayote
70.4,52.85,48.49,Chayote
44.07,60.65,28.66,Chayote
47.54,54.48,23.65,Chayote
53.39,93.07,46.23,Chayote
54.07,75.56,18.45,Chayote
46.56,27.94,42.78,Chayote
45.75,61.02,23.87,Chayote
68.41,73.82,61.72,Chayote
44.78,40.65,27.63,Chayote
65.52,77.53,41.36,Chayote
67.81,-12.87,31.7,Chayote
48.24,79.95,27.48,Chayote
54.35,31.04,48.94,Chayote
73.68,71.31,31.75,Chayote
48.58,45.29,75.72,Chayote
32.89,-12.08,43.05,Chayote
56.3,69.26,31.31,Chayote
62.68,60.91,64.4,Chayote
52.89,27.0,35.93,Chayote
43.32,49.02,51.62,Chayote
45.98,18.16,15.53,Chayote
37.97,-8.27,61.02,Chayote
55.73,44.86,23.49,Chayote
39.76,31.23,62.46,Chayote
58.54,50.05,37.32,Chayote
58.27,55.6,64.38,Chayote
48.47,67.08,48.62,Chayote
44.35,67.39,50.76,Chayote
64.74,85.79,27.58,Chayote
60.29,39.55,52.39,Chayote
57.09,65.79,26.43,Chayote
48.28,71.99,45.21,Chayote
57.04,25.74,49.9,Chayote
54.39,24.0,61.87,Chayote
48.25,-17.72,50.36,Chayote
61.93,87.06,55.99,Chayote
33.36,76.46,68.45,Chayote
59.01,51.69,38.8,Chayote
39.42,111.32,42.13,Chayote
49.53,67.07,48.17,Chayote
39.27,46.7,40.22,Chayote
35.44,80.1,57.69,Chayote
42.04,24.18,53.2,Chayote
37.16,19.3,40.04,Chayote
45.17,31.93,11.77,Chayote
32.9,13.99,58.17,Chayote
50.57,54.14,54.7,Chayote
64.62,49.38,43.44,Chayote
67.8,24.82,33.12,Chayote
30.65,103.2,28.84,Chayote
47.85,49.33,52.37,Chayote
56.32,33.02,63.51,Chayote
54.84,1.2,45.66,Chayote
50.29,33.51,37.85,Chayote
48.48,-0.67,57.53,Chayote
36.52,41.95,47.49,Chayote
49.44,15.78,54.42,Chayote
59.1,24.06,44.56,Chayote
57.5,-3.25,57.73,Chayote
46.19,33.78,45.18,Chayote
36.71,84.18,59.69,Chayote
54.08,98.78,53.71,Chayote
48.48,61.95,14.49,Chayote
56.88,7.82,72.96,Chayote
54.54,60.4,52.32,Chayote
54.86,-9.84,54.44,Chayote
49.07,2.81,51.34,Chayote
62.89,50.11,42.41,Chayote
66.51,48.12,25.75,Chayote
74.11,54.67,16.44,Chayote
47.91,73.31,46.96,Chayote
45.42,51.45,47.96,Chayote
71.31,73.35,51.8,Chayote
46.81,10.43,-5.44,Chayote
43.14,26.58,26.59,Chayote
44.75,14.42,60.84,Chayote
59.65,59.2,13.04,Chayote
55.5,66.88,32.3,Chayote
45.22,59.89,24.79,Chayote
44.3,97.11,13.34,Chayote
58.94,45.3,48.07,Chayote
43.86,15.21,65.11,Chayote
59.42,107.09,53.56,Chayote
53.26,3.23,43.24,Chayote
50.06,17.73,49.36,Chayote
38.6,37.26,38.0,Chayote
54.16,77.35,13.95,Chayote
50.98,81.77,52.96,Chayote
55.8,91.48,21.68,Chayote
64.84,64.78,46.21,Chayote
57.32,56.4,38.59,Chayote
59.67,48.11,63.95,Chayote
52.56,77.3,58.1,Chayote
47.59,44.53,41.25,Chayote
43.83,21.62,58.03,Chayote
54.21,58.17,32.12,Chayote
52.33,82.09,54.66,Chayote
47.62,70.98,31.74,Chayote
43.38,98.41,5.99,Chayote
40.93,70.45,67.22,Chayote
64.64,41.91,66.43,Chayote
57.84,56.96,65.67,Chayote
59.88,74.25,56.05,Chayote
44.53,63.5,45.74,Chayote
48.71,97.51,67.17,Chayote
42.76,116.84,27.87,Chayote
43.5,39.19,35.24,Chayote
49.74,67.18,31.06,Chayote
31.36,56.16,58.17,Chayote
44.97,103.87,57.76,Chayote
44.92,47.99,49.0,Chayote
50.08,101.19,20.67,Chayote
52.9,65.59,54.73,Chayote
61.98,32.46,38.14,Chayote
59.0,15.32,55.82,Chayote
53.55,52.95,40.75,Chayote
47.66,82.1,17.59,Chayote
54.0,76.28,61.01,Chayote
57.65,34.28,47.95,Chayote
55.96,36.93,38.84,Chayote
33.49,83.03,39.45,Chayote
51.46,85.89,34.22,Chayote
47.96,81.33,38.94,Chayote
45.37,67.91,48.45,Chayote
50.18,109.6,40.22,Chayote
69.56,37.05,67.03,Chayote
48.62,31.59,47.42,Chayote
46.01,13.3,46.79,Chayote
54.36,19.25,59.37,Chayote
50.97,43.23,48.67,Chayote
40.92,16.51,66.51,Chayote
53.74,55.69,56.16,Chayote
48.85,34.2,37.83,Chayote
57.61,40.63,-11.13,Chayote
54.4,19.43,45.51,Chayote
51.45,26.56,25.82,Chayote
68.77,45.32,40.14,Chayote
35.48,62.89,46.57,Chayote
38.32,31.98,31.79,Chayote
57.97,53.38,41.63,Chayote
58.65,21.75,28.59,Chayote
57.39,66.33,57.3,Chayote
37.84,51.31,47.58,Chayote
27.73,33.64,32.13,Chayote
54.77,49.37,55.1,Chayote
62.13,31.57,44.47,Chayote
56.23,37.69,49.1,Chayote
45.7,40.67,48.9,Chayote
51.27,64.11,16.67,Chayote
51.75,32.61,57.93,Chayote
52.3,90.81,30.97,Chayote
35.66,52.1,67.69,Chayote
49.35,86.94,58.57,Chayote
63.76,47.15,33.12,Chayote
37.17,141.78,48.56,Chayote
48.27,23.44,70.66,Chayote
33.1,54.52,51.83,Chayote
57.41,2.63,50.55,Chayote
30.99,53.43,40.09,Chayote
37.82,94.74,33.79,Chayote
59.18,12.43,45.76,Chayote
40.98,29.88,56.91,Chayote
69.09,-11.57,66.83,Chayote
62.7,64.25,37.16,Chayote
48.54,14.4,43.98,Chayote
40.17,54.32,54.8,Chayote
58.93,39.13,60.86,Chayote
53.2,151.7,62.33,Chayote
26.32,3.14,37.92,Chayote
54.62,34.3,63.57,Chayote
54.19,41.52,37.09,Chayote
43.85,19.64,8.85,Chayote
52.11,61.17,36.72,Chayote
35.14,55.15,32.78,Chayote
54.77,-10.32,38.69,Chayote
43.92,53.63,55.14,Chayote
48.15,25.27,48.42,Chayote
48.26,49.52,33.33,Chayote
55.33,21.68,43.81,Chayote
37.88,20.87,40.86,Chayote
58.99,73.4,55.42,Chayote
43.46,70.87,25.51,Chayote
29.59,84.57,60.56,Chayote
55.02,30.92,13.6,Chayote
62.78,24.65,50.24,Chayote
46.49,53.52,34.98,Chayote
68.5,31.04,72.63,Chayote
35.09,79.06,66.34,Chayote
46.65,56.3,42.08,Chayote
43.08,33.14,42.05,Chayote
52.05,21.53,62.17,Chayote
52.42,87.56,46.64,Chayote
43.38,0.73,42.33,Chayote
52.59,77.59,42.19,Chayote
58.67,78.52,30.11,Chayote
42.95,28.09,43.02,Chayote
31.58,58.69,36.97,Chayote
50.16,63.88,53.52,Chayote
52.96,34.41,35.76,Chayote
50.23,33.33,52.41,Chayote
45.68,59.03,37.5,Chayote
44.76,47.71,64.45,Chayote
53.42,15.06,37.87,Chayote
58.93,20.8,48.06,Chayote
55.09,43.25,56.62,Chayote
54.45,105.29,24.03,Chayote
40.06,38.51,34.69,Chayote
48.23,29.69,24.12,Chayote
65.93,59.13,31.18,Chayote
59.27,66.18,35.99,Chayote
53.6,74.0,8.5,Chayote
53.04,-10.87,46.01,Chayote
67.32,49.87,58.42,Chayote
54.9,40.45,72.63,Chayote
39.01,9.81,56.88,Chayote
58.57,3.42,39.59,Chayote
59.33,55.54,44.66,Chayote
41.57,73.81,38.22,Chayote
50.76,26.25,59.57,Chayote
40.71,81.74,32.97,Chayote
49.92,57.84,43.08,Chayote
31.53,62.04,65.61,Chayote
56.36,42.3,69.15,Chayote
35.82,46.45,50.47,Chayote
57.32,92.09,55.92,Ampalaya
39.4,118.37,37.7,Ampalaya
59.85,51.12,33.14,Ampalaya
46.93,58.34,32.68,Ampalaya
37.82,87.25,10.42,Ampalaya
59.74,110.96,25.76,Ampalaya
72.8,51.52,40.3,Ampalaya
57.35,41.23,48.55,Ampalaya
55.69,46.83,26.39,Ampalaya
50.11,115.5,45.24,Ampalaya
62.37,29.98,39.59,Ampalaya
51.77,53.6,34.74,Ampalaya
54.76,60.77,40.01,Ampalaya
32.96,57.97,48.89,Ampalaya
61.53,-29.91,57.5,Ampalaya
45.93,97.05,47.75,Ampalaya
54.13,38.42,20.31,Ampalaya
64.82,42.75,24.78,Ampalaya
46.04,10.66,32.31,Ampalaya
44.97,77.1,51.57,Ampalaya
57.98,26.27,35.27,Ampalaya
51.56,88.98,49.05,Ampalaya
52.87,52.24,54.07,Ampalaya
30.96,-9.83,61.43,Ampalaya
39.09,52.71,78.79,Ampalaya
60.83,40.67,48.64,Ampalaya
72.57,61.96,75.47,Ampalaya
39.55,7.15,28.65,Ampalaya
51.17,51.7,55.25,Ampalaya
59.74,51.36,29.0,Ampalaya
63.44,29.99,38.41,Ampalaya
62.14,32.72,59.63,Ampalaya
76.66,45.16,23.92,Ampalaya
48.24,50.21,17.52,Ampalaya
57.76,58.3,65.02,Ampalaya
46.69,76.71,43.78,Ampalaya
53.34,35.95,39.4,Ampalaya
56.53,34.3,27.7,Ampalaya
43.64,29.04,41.75,Ampalaya
37.06,62.25,27.7,Ampalaya
49.43,71.71,30.37,Ampalaya
41.62,-7.15,41.36,Ampalaya
45.81,-19.52,51.65,Ampalaya
49.22,108.5,45.35,Ampalaya
42.77,61.9,41.34,Ampalaya
44.91,82.55,59.97,Ampalaya
43.73,58.01,55.01,Ampalaya
60.98,55.9,52.19,Ampalaya
66.07,19.71,39.02,Ampalaya
18.88,101.55,34.7,Ampalaya
47.23,17.25,35.05,Ampalaya
40.72,-1.65,40.09,Ampalaya
40.46,-17.7,29.27,Ampalaya
59.14,59.65,45.63,Ampalaya
52.28,29.06,55.5,Ampalaya
46.81,24.08,0.77,Ampalaya
32.97,81.31,49.83,Ampalaya
52.08,94.16,29.63,Ampalaya
52.3,23.35,48.02,Ampalaya
47.19,71.28,75.47,Ampalaya
52.96,36.37,44.17,Ampalaya
49.22,38.46,48.08,Ampalaya
44.09,82.08,48.44,Ampalaya
56.39,44.71,25.17,Ampalaya
45.41,98.74,54.27,Ampalaya
44.96,48.02,42.9,Ampalaya
39.4,53.6,34.02,Ampalaya
58.89,65.17,41.3,Ampalaya
38.42,56.15,92.01,Ampalaya
49.92,54.32,43.56,Ampalaya
34.78,30.01,17.85,Ampalaya
47.93,40.34,60.45,Ampalaya
48.96,32.48,53.79,Ampalaya
47.64,31.39,50.94,Ampalaya
29.78,29.86,66.22,Ampalaya
62.19,60.43,15.97,Ampalaya
47.11,66.1,63.86,Ampalaya
40.21,30.48,71.25,Ampalaya
50.13,98.28,43.2,Ampalaya
50.53,58.3,51.75,Ampalaya
52.26,79.94,30.59,Ampalaya
61.44,31.79,18.45,Ampalaya
54.61,81.4,35.47,Ampalaya
58.17,52.81,43.76,Ampalaya
49.95,14.76,57.32,Ampalaya
49.54,48.37,29.17,Ampalaya
47.78,74.69,77.48,Ampalaya
64.53,48.75,34.01,Ampalaya
51.77,49.71,56.09,Ampalaya
53.64,101.99,72.74,Ampalaya
45.67,24.67,38.33,Ampalaya
55.69,36.13,32.2,Ampalaya
37.7,55.89,29.94,Ampalaya
47.71,66.04,54.88,Ampalaya
41.57,67.2,38.8,Ampalaya
49.9,49.43,45.86,Ampalaya
42.23,73.96,41.87,Ampalaya
54.37,65.1,68.26,Ampalaya
38.63,67.39,43.51,Ampalaya
43.0,25.48,51.75,Ampalaya
54.33,0.76,24.23,Ampalaya
41.42,23.01,51.04,Ampalaya
52.29,57.25,56.65,Ampalaya
28.73,41.07,39.5,Ampalaya
51.72,84.97,57.01,Ampalaya
59.94,68.65,49.8,Ampalaya
49.36,37.36,67.99,Ampalaya
44.81,33.82,57.21,Ampalaya
43.73,24.83,42.2,Ampalaya
45.25,107.68,16.45,Ampalaya
47.48,4.45,23.61,Ampalaya
51.6,8.37,57.5,Ampalaya
50.45,112.78,33.71,Ampalaya
55.91,70.64,21.78,Ampalaya
42.88,-19.52,48.07,Ampalaya
50.93,16.68,35.78,Ampalaya
59.76,69.62,67.29,Ampalaya
43.13,14.52,49.88,Ampalaya
31.73,16.81,50.38,Ampalaya
43.58,17.99,44.01,Ampalaya
33.92,56.7,56.27,Ampalaya
45.39,55.07,45.68,Ampalaya
45.05,25.4,51.61,Ampalaya
41.5,34.56,25.76,Ampalaya
57.05,47.89,32.93,Ampalaya
36.34,43.01,29.77,Ampalaya
54.39,59.77,29.67,Ampalaya
80.44,15.35,66.46,Ampalaya
57.08,30.21,61.61,Ampalaya
55.13,88.63,64.48,Ampalaya
29.68,71.33,52.55,Ampalaya
46.7,29.34,31.08,Ampalaya
52.69,114.32,64.97,Ampalaya
64.07,8.85,78.91,Ampalaya
57.87,6.28,41.36,Ampalaya
57.63,35.27,26.46,Ampalaya
41.25,78.49,28.11,Ampalaya
48.07,61.53,76.28,Ampalaya
45.36,16.21,47.5,Ampalaya
63.21,53.16,34.79,Ampalaya
62.75,13.14,54.85,Ampalaya
65.44,41.86,27.69,Ampalaya
65.98,60.75,81.22,Ampalaya
42.47,38.32,15.72,Ampalaya
34.87,63.6,51.8,Ampalaya
60.18,89.26,59.81,Ampalaya
52.44,86.8,16.11,Ampalaya
53.33,64.57,38.67,Ampalaya
57.71,93.41,31.76,Ampalaya
38.06,83.94,24.75,Ampalaya
46.63,35.76,48.19,Ampalaya
62.4,62.55,52.14,Ampalaya
50.54,47.39,70.62,Ampalaya
60.49,46.91,36.46,Ampalaya
48.64,37.54,42.85,Ampalaya
40.72,22.81,60.11,Ampalaya
58.8,26.94,19.91,Ampalaya
39.18,61.21,59.31,Ampalaya
46.56,63.14,63.92,Ampalaya
56.61,70.82,64.6,Ampalaya
52.32,-3.4,38.46,Ampalaya
55.34,81.27,22.15,Ampalaya
55.6,55.13,44.33,Ampalaya
64.05,9.96,83.49,Ampalaya
42.65,42.68,45.94,Ampalaya
64.19,27.29,38.25,Ampalaya
45.68,67.86,23.25,Ampalaya
46.92,55.28,61.08,Ampalaya
43.92,96.41,20.8,Ampalaya
54.19,51.61,48.81,Ampalaya
40.9,5.83,60.56,Ampalaya
45.9,0.74,42.83,Ampalaya
63.46,50.43,41.38,Ampalaya
40.36,80.29,51.31,Ampalaya
52.47,8.26,28.64,Ampalaya
67.39,56.5,38.0,Ampalaya
42.81,80.31,25.19,Ampalaya
51.57,-24.71,30.91,Ampalaya
45.67,74.5,58.03,Ampalaya
66.64,53.87,41.45,Ampalaya
60.55,74.76,58.08,Ampalaya
43.79,-8.46,41.49,Ampalaya
37.26,23.57,21.03,Ampalaya
45.02,21.13,26.77,Ampalaya
52.32,11.34,49.63,Ampalaya
41.49,48.06,27.55,Ampalaya
50.17,51.78,49.72,Ampalaya
46.0,25.95,56.78,Ampalaya
64.76,40.83,43.94,Ampalaya
59.97,50.65,47.52,Ampalaya
48.24,78.92,16.7,Ampalaya
57.78,52.54,64.32,Ampalaya
33.87,43.29,59.87,Ampalaya
56.93,52.39,53.21,Ampalaya
43.57,1.86,56.47,Ampalaya
52.47,47.95,39.9,Ampalaya
33.21,-2.14,38.82,Ampalaya
67.37,34.05,59.66,Ampalaya
53.46,67.61,58.58,Ampalaya
67.13,51.88,38.08,Ampalaya
53.23,56.77,43.72,Ampalaya
64.56,41.35,54.04,Ampalaya
64.62,94.88,51.99,Ampalaya
39.89,68.1,53.77,Ampalaya
50.47,71.58,34.9,Ampalaya
67.91,76.56,61.25,Ampalaya
65.4,20.96,27.72,Ampalaya
43.54,96.26,44.89,Ampalaya
40.1,44.86,58.28,Ampalaya
60.57,34.18,32.36,Ampalaya
53.18,43.91,28.48,Ampalaya
31.54,74.93,76.94,Ampalaya
97.22,22.28,43.68,Ampalaya
54.19,82.34,40.39,Ampalaya
53.86,44.27,36.01,Ampalaya
57.3,33.87,75.67,Ampalaya
35.23,58.38,70.97,Ampalaya
38.48,44.07,54.61,Ampalaya
51.59,53.65,20.92,Ampalaya
41.79,47.49,50.5,Ampalaya
42.45,40.59,56.23,Ampalaya
37.56,129.53,36.83,Ampalaya
48.04,91.25,16.95,Ampalaya
51.6,54.4,41.86,Ampalaya
62.87,-6.21,45.88,Ampalaya
52.75,58.34,55.61,Ampalaya
48.02,39.36,69.42,Ampalaya
50.43,53.75,81.71,Ampalaya
36.25,73.95,46.09,Ampalaya
34.11,47.73,72.47,Ampalaya
27.02,21.74,46.0,Ampalaya
29.49,5.53,29.42,Ampalaya
55.74,-12.83,36.1,Ampalaya
53.25,82.43,71.8,Ampalaya
48.3,60.21,55.4,Ampalaya
65.18,60.32,37.16,Ampalaya
46.31,62.91,60.47,Ampalaya
63.68,79.48,64.45,Ampalaya
41.2,12.85,36.65,Ampalaya
38.23,17.73,65.62,Ampalaya
60.99,81.24,47.48,Ampalaya
53.86,97.92,43.3,Ampalaya
38.5,106.22,17.19,Ampalaya
47.03,51.67,46.38,Ampalaya
28.32,36.25,38.58,Ampalaya
48.68,114.23,32.55,Ampalaya
46.01,53.88,35.11,Ampalaya
38.84,87.82,62.34,Ampalaya
54.91,56.13,37.75,Ampalaya
44.32,63.1,77.13,Ampalaya
55.48,61.46,41.1,Ampalaya
49.71,61.15,55.23,Ampalaya
34.83,92.53,35.72,Ampalaya
45.44,117.1,27.79,Ampalaya
37.15,21.15,54.12,Ampalaya
38.75,50.31,42.22,Ampalaya
56.6,33.34,31.84,Ampalaya
40.97,56.08,40.48,Ampalaya
58.19,45.67,36.63,Ampalaya
57.47,107.86,54.12,Ampalaya
47.99,19.47,58.15,Ampalaya
60.34,2.81,63.67,Ampalaya
51.5,9.54,49.31,Ampalaya
48.82,68.94,47.32,Ampalaya
56.33,99.34,40.98,Ampalaya
45.42,59.06,56.1,Ampalaya
45.69,0.09,29.81,Ampalaya
43.1,42.01,47.63,Ampalaya
49.92,20.09,26.23,Ampalaya
51.53,4.68,66.08,Ampalaya
62.51,22.46,26.95,Ampalaya
51.98,-2.46,42.35,Ampalaya
54.73,32.25,35.63,Ampalaya
59.74,66.64,43.92,Ampalaya
69.36,35.28,79.73,Ampalaya
41.42,18.74,52.22,Ampalaya
48.32,55.03,37.96,Ampalaya
47.19,36.58,57.21,Ampalaya
52.86,51.35,52.55,Ampalaya
50.11,107.28,41.88,Ampalaya
58.96,23.71,36.92,Ampalaya
53.28,65.76,10.22,Ampalaya
35.25,72.39,29.89,Ampalaya
54.55,70.28,51.5,Ampalaya
34.2,81.63,42.93,Ampalaya
38.05,20.9,38.14,Ampalaya
33.7,62.92,65.13,Ampalaya
38.19,11.78,64.25,Ampalaya
54.73,28.89,48.38,Ampalaya
44.7,78.25,70.39,Ampalaya
51.4,41.0,64.68,Ampalaya
53.56,14.31,33.23,Ampalaya
35.96,29.56,27.35,Ampalaya
55.3,109.21,48.69,Ampalaya
38.17,59.18,48.15,Ampalaya
41.78,38.03,32.49,Ampalaya
33.32,76.82,59.15,Ampalaya
50.61,54.44,55.54,Ampalaya
49.41,35.08,49.44,Ampalaya
67.75,72.91,14.62,Ampalaya
74.85,71.91,48.43,Ampalaya
66.45,55.12,69.45,Ampalaya
40.48,82.84,50.48,Ampalaya
57.34,-15.58,53.87,Ampalaya
52.62,30.03,30.96,Ampalaya
57.48,11.84,41.65,Ampalaya
33.66,50.16,46.01,Ampalaya
54.2,-0.18,37.59,Ampalaya
47.34,112.42,44.14,Ampalaya
47.77,46.96,65.33,Ampalaya
49.39,50.16,29.48,Ampalaya
44.88,26.49,24.16,Ampalaya
45.73,73.82,49.8,Ampalaya
59.54,3.83,59.68,Ampalaya
54.08,-12.56,39.34,Ampalaya
75.4,43.01,75.2,Ampalaya
43.49,84.06,24.49,Ampalaya
65.22,47.76,70.25,Ampalaya
41.26,55.95,44.65,Ampalaya
49.14,84.52,57.3,Ampalaya
53.11,59.9,48.41,Ampalaya
41.63,14.44,48.08,Ampalaya
56.42,47.88,46.31,Ampalaya
51.02,67.89,39.56,Ampalaya
47.2,46.61,56.08,Ampalaya
55.97,16.76,51.13,Ampalaya
44.76,68.37,39.93,Ampalaya
42.25,54.86,36.9,Ampalaya
50.18,41.38,53.73,Ampalaya
54.48,23.4,53.48,Ampalaya
47.44,51.62,63.28,Ampalaya
67.78,25.91,44.38,Ampalaya
54.57,80.53,47.95,Ampalaya
64.91,-3.27,54.09,Ampalaya
61.6,56.5,46.61,Ampalaya
49.09,64.45,66.89,Ampalaya
59.86,54.71,1.87,Ampalaya
66.09,72.56,68.89,Ampalaya
58.56,47.21,60.14,Ampalaya
32.21,10.09,34.17,Ampalaya
70.52,60.74,39.51,Ampalaya
35.02,24.22,56.9,Ampalaya
52.32,45.26,38.62,Ampalaya
60.27,84.59,52.66,Ampalaya
48.71,33.47,17.94,Ampalaya
56.49,31.33,37.01,Ampalaya
60.68,7.87,46.16,Ampalaya
35.18,78.77,46.07,Ampalaya
40.69,66.64,53.83,Ampalaya
40.99,58.0,25.46,Ampalaya
47.13,70.14,9.35,Ampalaya
54.74,48.94,34.63,Ampalaya
42.44,69.08,29.57,Ampalaya
45.21,99.78,43.21,Ampalaya
69.25,18.5,60.04,Ampalaya
60.78,12.54,46.51,Ampalaya
54.03,27.13,41.71,Ampalaya
42.52,42.78,53.78,Ampalaya
45.48,68.91,48.35,Ampalaya
55.35,59.0,39.79,Ampalaya
36.31,7.39,44.37,Ampalaya
63.51,56.46,54.47,Ampalaya
35.8,44.38,45.93,Ampalaya
27.0,35.89,41.08,Ampalaya
47.4,90.42,28.97,Ampalaya
37.4,88.36,21.38,Ampalaya
56.68,24.96,67.49,Ampalaya
40.95,72.23,36.69,Ampalaya
43.89,-20.1,64.31,Ampalaya
45.95,64.12,54.07,Ampalaya
42.42,60.21,49.68,Ampalaya
54.36,57.85,57.12,Ampalaya
49.82,-35.77,59.4,Ampalaya
40.05,58.16,62.05,Ampalaya
68.66,72.77,46.29,Ampalaya
46.47,78.83,29.75,Ampalaya
58.06,46.42,47.09,Ampalaya
50.38,46.73,15.04,Ampalaya
36.99,60.49,53.22,Ampalaya
60.54,79.13,41.04,Ampalaya
56.21,64.82,9.82,Ampalaya
58.43,55.53,63.9,Ampalaya
58.41,35.09,29.18,Ampalaya
56.41,26.37,33.1,Ampalaya
31.36,68.56,32.19,Ampalaya
69.48,27.36,62.69,Ampalaya
48.61,63.34,45.97,Ampalaya
53.67,47.34,49.7,Ampalaya
61.57,15.49,59.22,Ampalaya
47.16,63.49,38.81,Ampalaya
47.91,22.75,68.29,Ampalaya
39.32,102.72,74.24,Ampalaya
58.35,9.0,46.23,Ampalaya
39.04,53.6,43.03,Ampalaya
44.16,65.3,46.38,Ampalaya
55.42,24.37,42.75,Ampalaya
56.02,43.95,57.86,Ampalaya
51.0,72.68,47.0,Ampalaya
47.51,17.15,18.54,Ampalaya
36.75,1.34,46.88,Ampalaya
53.38,44.85,57.05,Ampalaya
44.95,29.67,46.13,Ampalaya
38.5,36.75,14.93,Ampalaya
39.22,30.89,57.44,Ampalaya
28.47,8.08,40.1,Ampalaya
47.48,41.42,41.9,Ampalaya
44.21,89.45,34.38,Ampalaya
40.17,55.6,36.2,Ampalaya
51.21,17.47,57.73,Ampalaya
40.86,111.41,43.09,Ampalaya
43.99,25.34,46.99,Ampalaya
55.8,91.8,15.2,Ampalaya
39.28,69.63,47.62,Ampalaya
57.82,48.86,35.24,Ampalaya
50.8,66.65,41.7,Ampalaya
62.99,21.55,71.39,Ampalaya
55.05,42.97,59.98,Ampalaya
48.16,82.62,13.37,Ampalaya
50.34,-8.85,40.55,Ampalaya
55.96,51.65,63.79,Ampalaya
50.6,84.99,28.4,Ampalaya
48.56,93.61,54.62,Ampalaya
56.49,24.84,41.73,Ampalaya
34.19,39.7,50.15,Ampalaya
35.86,28.51,47.57,Ampalaya
52.12,0.55,34.31,Ampalaya
43.19,-17.02,60.46,Ampalaya
50.41,50.86,16.77,Ampalaya
72.49,70.59,45.41,Ampalaya
38.44,116.61,41.66,Ampalaya
67.56,59.27,43.73,Ampalaya
56.81,39.12,17.45,Ampalaya
61.96,48.26,36.39,Ampalaya
62.79,58.45,47.6,Ampalaya
54.24,23.54,31.24,Ampalaya
60.27,79.2,22.77,Ampalaya
57.33,75.29,39.88,Ampalaya
52.39,52.15,46.04,Ampalaya
35.52,23.97,55.55,Ampalaya
53.49,21.73,24.28,Ampalaya
39.19,55.36,27.57,Ampalaya
65.7,56.88,70.94,Ampalaya
53.57,21.05,77.16,Ampalaya
48.59,31.21,46.22,Ampalaya
55.03,49.48,46.64,Ampalaya
47.51,22.75,21.63,Ampalaya
60.49,44.42,52.18,Ampalaya
46.22,78.72,27.43,Ampalaya
59.61,-30.21,42.54,Ampalaya
68.58,18.83,79.56,Ampalaya
38.0,37.31,49.35,Ampalaya
36.43,122.46,66.39,Ampalaya
55.19,58.82,30.71,Ampalaya
68.88,12.87,28.77,Ampalaya
42.41,15.36,25.6,Ampalaya
54.58,92.15,27.64,Ampalaya
78.85,66.78,43.93,Ampalaya
52.6,66.54,37.76,Ampalaya
41.75,3.15,51.8,Ampalaya
40.74,60.37,47.13,Ampalaya
40.4,43.34,40.21,Ampalaya
47.98,56.17,30.6,Ampalaya
54.53,21.4,49.28,Ampalaya
52.02,105.5,56.51,Ampalaya
48.0,15.25,44.7,Ampalaya
55.85,96.88,56.9,Ampalaya
49.98,18.74,58.25,Ampalaya
67.26,37.2,37.95,Ampalaya
45.72,44.63,52.84,Ampalaya
67.8,31.45,53.36,Ampalaya
50.15,38.58,62.93,Ampalaya
49.42,74.82,47.85,Ampalaya
53.73,81.63,29.25,Ampalaya
54.98,62.6,32.55,Ampalaya
49.5,-17.38,43.67,Ampalaya
43.85,83.05,39.37,Ampalaya
57.2,84.43,41.35,Ampalaya
55.18,51.42,32.29,Ampalaya
34.51,56.4,46.7,Ampalaya
52.71,9.27,24.62,Ampalaya
41.59,68.32,41.83,Ampalaya
45.69,21.81,42.91,Ampalaya
43.28,30.63,32.39,Ampalaya
